Date : 2021-08-14 16:05:59
Directory : c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2
Total : 52 files,  13382 codes, 240 comments, 303 blanks, all 13925 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\App.vue                                      | Vue        |         20 |          0 |          4 |         24 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\css\base.css                          | CSS        |         45 |          2 |         11 |         58 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\css\normalize.css                     | CSS        |        146 |        129 |         74 |        349 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\cart\tick.svg                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\common\back.svg                   | XML        |          1 |          0 |          1 |          2 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\common\collect.svg                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\tabbar\cart.svg                   | XML        |         18 |          0 |          1 |         19 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\tabbar\cart_active.svg            | XML        |         18 |          0 |          1 |         19 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\tabbar\category.svg               | XML        |         21 |          0 |          1 |         22 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\tabbar\category_active.svg        | XML        |         21 |          0 |          1 |         22 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\tabbar\home.svg                   | XML        |         19 |          0 |          1 |         20 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\tabbar\home_active.svg            | XML        |         19 |          0 |          1 |         20 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\tabbar\profile.svg                | XML        |         19 |          0 |          1 |         20 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\assets\img\tabbar\profile_active.svg         | XML        |         19 |          0 |          1 |         20 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\common\utils.js                              | JavaScript |         10 |          1 |          1 |         12 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\common\navbar\NavBar.vue          | Vue        |         27 |          0 |          4 |         31 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\common\scroll\Scroll.vue          | Vue        |         61 |          6 |          6 |         73 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\common\swiper\Swiper.vue          | Vue        |        177 |         45 |         33 |        255 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\common\swiper\SwiperItem.vue      | Vue        |         19 |          0 |          4 |         23 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\common\swiper\index.js            | JavaScript |          5 |          0 |          2 |          7 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\common\tabbar\TabBar.vue          | Vue        |         21 |          3 |          5 |         29 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\common\tabbar\TabBarItem.vue      | Vue        |         52 |          5 |          3 |         60 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\content\backTop\BackTop.vue       | Vue        |         21 |          0 |          3 |         24 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\content\goods\GoodsList.vue       | Vue        |         34 |          0 |          4 |         38 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\content\goods\GoodsListItem.vue   | Vue        |         73 |          1 |          9 |         83 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\content\mainTabbar\MainTabBar.vue | Vue        |         54 |          0 |          4 |         58 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\components\content\tabControl\TabControl.vue | Vue        |         58 |          0 |          3 |         61 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\main.js                                      | JavaScript |          9 |          0 |          4 |         13 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\network\detail.js                            | JavaScript |         38 |          1 |          5 |         44 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\network\home.js                              | JavaScript |         15 |          0 |          3 |         18 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\network\request.js                           | JavaScript |         22 |          7 |          6 |         35 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\router\index.js                              | JavaScript |         39 |          0 |          7 |         46 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\cart\Cart.vue                          | Vue        |         14 |          0 |          4 |         18 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\category\Category.vue                  | Vue        |         11 |          0 |          5 |         16 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\Detail.vue                      | Vue        |         77 |         11 |         17 |        105 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailBaseInfo.vue   | Vue        |         97 |          0 |          5 |        102 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailGoodsInfo.vue  | Vue        |         94 |          0 |         12 |        106 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailNavBar.vue     | Vue        |         58 |          0 |          4 |         62 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailParamInfo.vue  | Vue        |         63 |          0 |          3 |         66 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailShopInfo.vue   | Vue        |        138 |          1 |          4 |        143 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\detail\childComps\DetailSwiper.vue     | Vue        |         35 |          0 |          6 |         41 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\home\Home.vue                          | Vue        |        166 |         26 |         12 |        204 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\home\childComps\FeatureView.vue        | Vue        |         16 |          0 |          4 |         20 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\home\childComps\HomeSwiper.vue         | Vue        |         42 |          1 |          4 |         47 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\home\childComps\RecommendView.vue      | Vue        |         41 |          0 |          3 |         44 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\src\views\profile\Profile.vue                    | Vue        |         54 |          0 |          4 |         58 |
| c:\Users\Jian\Desktop\vue学习\LearnVuejs09\superm2\vue.config.js                                    | JavaScript |         14 |          0 |          1 |         15 |
| Total                                                                                             |            |     13,382 |        240 |        303 |     13,925 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
